,,,
"WARD 1 - LINN",,,,
"St Rose of Lima Primary School, 295 Mossvale Road, G33 5QS","443 - 446","Voters in Polling Districts PR2121 & PR2221",,"Box 445 combined with box 446"
"The Connie, 39-43 Conisborough Road, G34 9JW",447,"Voters in Polling District PR2321",,
"Platform Library at the Bridge, 1000 Westerhouse Road, G34 9JW",448,"Voters in Polling District PR2421",,"Box 448 combined with box 449"
"Bannatyne House, F.A.R.E., 31 Drumlanrig Avenue, G32 0JF","449 - 451","Voters in Polling District  PR2521",,"Box 448 combined with box 449
Box 450 combined with box 451"
"Blairtummock Housing Association, Community Hall, 45 Boyndie Road, G34 9JL",452,"Voters in Polling District PR2621",,
"Molendinar Community Centre, 1210 Royston Road, G33 1HE enter from Provanmill Road  ",453,"Voters in Polling District PR2821",,
"St Philomena's Primary School, 21 Robroyston Road, G33 1EA","454 - 456","Voters in Polling District PR2921",,"Box 455 combined with box 462"
"Wallacewell Primary School, 305 Standburn Road, G21 3RH","457 - 459
","Voters in Polling District PR3021 
& ES0121",,
"Ruchazie Community Centre, 441 Gartloch Road, G33 3TJ","460 - 461
","Voters in Polling District PR3121",,"Box 460 combined with box 461"
"St Martha's Primary School, 85 Menzies Road, G21 3NG",462,"Voters in Polling District PR3221",,"Box 455 combined with box 462"
"Brunswick Centre, 17 Wardhill Road, G21 3NN",463,"Voters in Polling District PR3321",,
"Balornock East Youth Centre, 285 Wallacewell Road, G21 3RD","464 - 465","Voters in Polling District PR3421",,"Box 464 combined with box 465"
"All Saints Secondary School, 299 Ryehill Road, G21 3EN","466 - 467","Voters in Polling District PR3521",,"Box 466 combined with box 467"
"St Catherine's Primary School, 274 Rye Road, G21 3JR",468,"Voters in Polling District PR3621",,
"TOTAL POSTAL NORTH EAST""All postal votes for North East",,,,
